Finały młodziczek 22.11.2015 r,,,,,,,,,
,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie
,,,,,Pełne,Zbier.,X,Razem,
1.,Ciszewska,Angelika,KS Polonia 1912 Leszno,472,362,169,7,531,1003
2.,Mervartová,Helena,SKK Primator Nachod,475,372,107,19,479,954
3.,Łochowicz,Anna,KS Polonia 1912 Leszno,451,326,143,15,469,920
4.,Dušková,Michaela,SKK Primator Nachod,453,312,141,11,453,906
5.,Kaluszka,Monika,KS Pilica Tomaszów Maz.,445,324,126,17,450,895
6.,Wąsala,Maja,Osir vector tarnowo podgórne,442,308,141,14,449,891
