Finały młodzików 22.11.2015 r,,,,,,,,,
,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie
,,,,,Pełne,Zbier.,X,Razem,
1.,Cwojdziński ,Jakub,KS Alfa Vector Tarnowo Podg.,515,339,156,8,495,1010
2.,Hejna,František,SKK Primator Nachod,472,353,152,8,505,977
3.,Bacza ,Łukasz,KS Polonia Łaziska Górne,480,337,151,16,488,968
4.,Kuryło,Jakub,BOSiR Brzesko,492,338,135,8,473,965
5.,Łazowski,Tadeusz,BOSiR Brzesko,471,357,137,9,494,965
6.,Gołębiewski,Jerzy,KS Zatoka Puck,473,366,121,15,487,960
7.,Nowicki,Dominik,KK Dziewiątka-Amica Wronki,475,322,145,15,467,942
8.,Grzywaczewski,Mateusz,KK Dziewiątka-Amica Wronki,474,319,141,10,460,934
