Finały młodziczek 23.11.2014 r.,,,,,,,,,
,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie
,,,,,Pełne,Zbier.,X,Razem,
1.,Dudziak,Nicoletta,KS Polonia 1912 Leszno,512,336,149,7,485,997
2.,Filipiec,Julia,KK Dziewiątka-Amica Wronki,506,346,139,14,485,991
3.,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,504,351,129,14,480,984
4.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,482,330,156,7,486,968
5.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,500,328,110,19,438,938
