Finały juniorek młodszych 22.11.2015 r.,,,,,,,,,
,,,,,,,,,
Lp,Nazwisko ,Imię ,Klub,Elim.,Finał,,,,Łącznie
,,,,,Pełne,Zbier.,X,Razem,
1.,Sidło,Julia,KS Pilica Tomaszów Mazowiecki,526,353,192,3,545,1071
2.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,567,342,154,8,496,1063
3.,Dudziak ,Nicoletta,KS Polonia 1912 Leszno,541,345,168,5,513,1054
4.,Majerová,Kateřina,SKK Primator Nachod,534,357,163,8,520,1054
5.,Bonk,Aleksandra,ks alfa-vector tarnowo podgórne,512,377,159,6,536,1048
6.,Paszyk,Julia,KK Dziewiątka Wronki,539,330,175,9,505,1044
7.,Brodziszewska,Julia,KK Dziewiątka Wronki,509,368,148,15,516,1025
8.,Pawłowska,Joanna,KS Pilica Tomaszów Mazowiecki,500,347,156,4,503,1003
9.,Kwapisz,Dorota,KS Polonia 1912 Leszno,522,340,128,12,468,990
10.,Gołębiewska,Marta,KS Zatoka Puck,521,340,128,11,468,989
